year,state,producer type,energy source,CO2 (MT),SO2 (MT),NOx (MT),consumption,generation (mwh)
1990,CT,Total Electric Power Industry,Petroleum,7382393.0,40429.0,13306.0,14515654,8874466.0
1990,DC,Total Electric Power Industry,Total,409724.0,2303.0,425.0,,361043.0
1990,DC,Total Electric Power Industry,Petroleum,409724.0,2303.0,425.0,870797,361043.0
1990,DE,Total Electric Power Industry,Total,8884879.0,80050.0,27206.0,,7841500.0
1990,DE,Total Electric Power Industry,Coal,5428824.0,38490.0,21703.0,2186303,5113479.0
1990,DE,Total Electric Power Industry,Natural Gas,619690.0,2.0,1001.0,10803181,763019.0
1990,DE,Total Electric Power Industry,Other,0.0,162.0,0.0,,6315.0
1990,DE,Total Electric Power Industry,Petroleum,2836365.0,41396.0,4503.0,4266440,1793806.0
1990,FL,Total Electric Power Industry,Total,91555237.0,632761.0,289629.0,,131502553.0
1990,FL,Total Electric Power Industry,Coal,57456294.0,436233.0,216727.0,24458736,60100257.0
1990,FL,Total Electric Power Industry,Natural Gas,11265272.0,56.0,25719.0,200576189,18642683.0
1990,FL,Total Electric Power Industry,Other,1338330.0,28285.0,9258.0,,1453102.0
1990,FL,Total Electric Power Industry,Petroleum,21495341.0,168186.0,37924.0,41401921,25535138.0
1990,GA,Total Electric Power Industry,Total,67852693.0,848506.0,306264.0,,102686240.0
1990,GA,Total Electric Power Industry,Coal,65171579.0,805011.0,291981.0,28228783,68545692.0
1990,GA,Total Electric Power Industry,Natural Gas,1080132.0,4.0,2225.0,7667165,830180.0
1990,GA,Total Electric Power Industry,Other,310556.0,30285.0,10044.0,,1.0
1990,GA,Total Electric Power Industry,Petroleum,1290426.0,13207.0,2014.0,1021591,499480.0
1990,HI,Total Electric Power Industry,Total,8063505.0,35214.0,14888.0,,9702752.0
1990,HI,Total Electric Power Industry,Coal,6345.0,78.0,26.0,2013,2381.0
1990,HI,Total Electric Power Industry,Other,236361.0,44.0,672.0,,
1990,HI,Total Electric Power Industry,Petroleum,7820799.0,35093.0,14189.0,16033262,8735862.0
1990,IA,Total Electric Power Industry,Total,29954105.0,182766.0,152100.0,,30044506.0
1990,IA,Total Electric Power Industry,Coal,29378522.0,182458.0,150750.0,15922186,25751941.0
1990,IA,Total Electric Power Industry,Natural Gas,512789.0,1.0,1216.0,5331961,333390.0
1990,IA,Total Electric Power Industry,Other,1212.0,50.0,47.0,,
1990,IA,Total Electric Power Industry,Petroleum,61582.0,257.0,87.0,134131,54471.0
1990,ID,Total Electric Power Industry,Total,489043.0,8655.0,2677.0,,9691475.0
1990,ID,Total Electric Power Industry,Coal,316004.0,5540.0,1547.0,30719,44371.0
1990,ID,Total Electric Power Industry,Natural Gas,171264.0,1.0,307.0,733221,55714.0
1990,ID,Total Electric Power Industry,Other,0.0,3092.0,820.0,,65203.0
1990,ID,Total Electric Power Industry,Petroleum,1775.0,22.0,3.0,2325,994.0
1990,IL,Total Electric Power Industry,Total,60761615.0,849173.0,335809.0,,129392471.0
1990,IL,Total Electric Power Industry,Coal,58336624.0,845232.0,330004.0,28033010,54966018.0
1990,IL,Total Electric Power Industry,Natural Gas,1350382.0,5.0,3503.0,17822267,1419891.0
1990,IL,Total Electric Power Industry,Other,0.0,0.0,914.0,,
1990,IL,Total Electric Power Industry,Petroleum,1074609.0,3936.0,1388.0,2155575,438584.0
1990,IN,Total Electric Power Industry,Total,99078594.0,1276784.0,489687.0,,101417116.0
1990,IN,Total Electric Power Industry,Coal,95600952.0,1273237.0,484016.0,48099024,96925554.0
1990,IN,Total Electric Power Industry,Natural Gas,1871863.0,7.0,3824.0,16908209,1470837.0
1990,IN,Total Electric Power Industry,Other,299535.0,114.0,907.0,,
1990,IN,Total Electric Power Industry,Petroleum,1306244.0,3426.0,940.0,1763063,868038.0
1990,KS,Total Electric Power Industry,Total,27517046.0,78498.0,124679.0,,34184857.0
1990,KS,Total Electric Power Industry,Coal,25770223.0,77331.0,120126.0,15017606,23720258.0
1990,KS,Total Electric Power Industry,Natural Gas,1670557.0,6.0,4168.0,29874775,2502807.0
1990,KS,Total Electric Power Industry,Petroleum,76266.0,1160.0,386.0,211573,74026.0
1990,KY,Total Electric Power Industry,Total,66691156.0,818531.0,300977.0,,73807286.0
1990,KY,Total Electric Power Industry,Coal,66585266.0,818339.0,300852.0,30867075,70500461.0
1990,KY,Total Electric Power Industry,Natural Gas,15310.0,0.0,36.0,282503,27796.0
1990,KY,Total Electric Power Industry,Petroleum,90580.0,192.0,89.0,212140,118646.0
1990,LA,Total Electric Power Industry,Total,44982915.0,111821.0,151628.0,,76465630.0
1990,LA,Total Electric Power Industry,Coal,18947728.0,90659.0,82828.0,11777471,17856687.0
1990,LA,Total Electric Power Industry,Natural Gas,25831297.0,128.0,55124.0,384809349,39474866.0
1990,LA,Total Electric Power Industry,Other,0.0,17822.0,13341.0,,1292819.0
1990,LA,Total Electric Power Industry,Petroleum,203890.0,3212.0,335.0,386787,232098.0
1990,MA,Total Electric Power Industry,Total,27815932.0,211894.0,76479.0,,39811011.0
1990,MA,Total Electric Power Industry,Coal,10474801.0,90756.0,43816.0,4238179,11365893.0
1990,MA,Total Electric Power Industry,Natural Gas,3656731.0,16.0,8219.0,63096070,6132702.0
1990,MA,Total Electric Power Industry,Other,1019791.0,833.0,2681.0,,
1990,MA,Total Electric Power Industry,Petroleum,12664609.0,120289.0,21763.0,24875402,15101792.0
1990,MD,Total Electric Power Industry,Total,27349665.0,269646.0,102368.0,,33162292.0
1990,MD,Total Electric Power Industry,Coal,22106716.0,240851.0,91455.0,9047268,23509862.0
1990,MD,Total Electric Power Industry,Natural Gas,1226653.0,5.0,2834.0,19580351,1522443.0
1990,MD,Total Electric Power Industry,Other,294471.0,2350.0,1350.0,,
1990,MD,Total Electric Power Industry,Petroleum,3721825.0,26440.0,6729.0,7241159,3571272.0
1990,ME,Total Electric Power Industry,Total,5204666.0,52483.0,14302.0,,15946014.0
1990,ME,Total Electric Power Industry,Coal,731939.0,5057.0,2572.0,209972,453218.0
1990,ME,Total Electric Power Industry,Natural Gas,10435.0,0.0,102.0,795136,50786.0
1990,ME,Total Electric Power Industry,Other,232225.0,8099.0,5008.0,,
1990,ME,Total Electric Power Industry,Petroleum,4230067.0,39327.0,6620.0,5242577,3081100.0
1990,MI,Total Electric Power Industry,Total,71755088.0,382740.0,310568.0,,100059737.0
1990,MI,Total Electric Power Industry,Coal,65192865.0,362913.0,295425.0,30658028,67066870.0
1990,MI,Total Electric Power Industry,Natural Gas,5277864.0,27.0,10597.0,91487906,7837956.0
1990,MI,Total Electric Power Industry,Other,262521.0,4061.0,2401.0,,
1990,MI,Total Electric Power Industry,Petroleum,1021838.0,15738.0,2146.0,1716367,861725.0
1990,MN,Total Electric Power Industry,Total,31917079.0,101753.0,161099.0,,43070376.0
1990,MN,Total Electric Power Industry,Coal,30530930.0,95461.0,155768.0,17193155,28176280.0
1990,MN,Total Electric Power Industry,Natural Gas,707208.0,1.0,1807.0,7196351,539839.0
1990,MN,Total Electric Power Industry,Other,188064.0,6017.0,3420.0,,
1990,MN,Total Electric Power Industry,Petroleum,490877.0,274.0,104.0,829597,447814.0
1990,MO,Total Electric Power Industry,Total,48705027.0,724008.0,262408.0,,59352830.0
1990,MO,Total Electric Power Industry,Coal,48378620.0,720786.0,261405.0,24389831,48796793.0
1990,MO,Total Electric Power Industry,Natural Gas,233296.0,1.0,616.0,3944518,312109.0
1990,MO,Total Electric Power Industry,Petroleum,93111.0,3221.0,386.0,216092,90033.0
1990,MS,Total Electric Power Industry,Total,14776544.0,119573.0,53136.0,,25201417.0
1990,MS,Total Electric Power Industry,Coal,9273143.0,96477.0,37006.0,3912851,9526527.0
1990,MS,Total Electric Power Industry,Natural Gas,4812684.0,25.0,11169.0,73036347,5919664.0
1990,MS,Total Electric Power Industry,Other,0.0,12450.0,3793.0,,
1990,MS,Total Electric Power Industry,Petroleum,690717.0,10621.0,1168.0,1285200,738971.0
1990,MT,Total Electric Power Industry,Total,16129041.0,17331.0,86214.0,,26029772.0
1990,MT,Total Electric Power Industry,Coal,15899614.0,16059.0,85335.0,9572552,15119619.0
1990,MT,Total Electric Power Industry,Natural Gas,174817.0,1.0,396.0,587869,55255.0
1990,MT,Total Electric Power Industry,Other,0.0,806.0,415.0,,
1990,MT,Total Electric Power Industry,Petroleum,54610.0,464.0,68.0,66616,28982.0
1990,NC,Total Electric Power Industry,Total,48999877.0,363828.0,202720.0,,84925767.0
1990,NC,Total Electric Power Industry,Coal,48009174.0,343263.0,197050.0,19401058,49821595.0
1990,NC,Total Electric Power Industry,Natural Gas,221111.0,1.0,517.0,2928862,203465.0
1990,NC,Total Electric Power Industry,Other,10130.0,15845.0,3918.0,,203406.0
1990,NC,Total Electric Power Industry,Petroleum,759462.0,4719.0,1235.0,690542,328025.0
1990,ND,Total Electric Power Industry,Total,28488254.0,133418.0,68920.0,,26993261.0
1990,ND,Total Electric Power Industry,Coal,28262894.0,132814.0,68405.0,21631578,25189003.0
1990,ND,Total Electric Power Industry,Natural Gas,113318.0,1.0,320.0,588882,51563.0
1990,ND,Total Electric Power Industry,Petroleum,112042.0,603.0,194.0,90805,41547.0
1990,NE,Total Electric Power Industry,Total,13557583.0,46993.0,78102.0,,21633587.0
1990,NE,Total Electric Power Industry,Coal,13355408.0,46940.0,77606.0,8027846,12661150.0
1990,NE,Total Electric Power Industry,Natural Gas,188819.0,1.0,474.0,3767748,308065.0
1990,NE,Total Electric Power Industry,Petroleum,13356.0,53.0,22.0,31360,12981.0
1990,NH,Total Electric Power Industry,Total,5086749.0,60436.0,19249.0,,12405196.0
1990,NH,Total Electric Power Industry,Coal,2848166.0,37489.0,14898.0,1146343,2959203.0
1990,NH,Total Electric Power Industry,Other,102582.0,151.0,1414.0,,
1990,NH,Total Electric Power Industry,Petroleum,2136001.0,22795.0,2936.0,4109098,2346493.0
1990,NJ,Total Electric Power Industry,Total,13636812.0,71420.0,49693.0,,39968834.0
1990,NJ,Total Electric Power Industry,Coal,6854331.0,62707.0,35374.0,2739640,7057820.0
1990,NJ,Total Electric Power Industry,Natural Gas,4379471.0,20.0,9714.0,72479013,6914325.0
1990,NJ,Total Electric Power Industry,Other,153519.0,106.0,766.0,,
1990,NJ,Total Electric Power Industry,Petroleum,2249491.0,8587.0,3839.0,3915246,2094969.0
1990,NM,Total Electric Power Industry,Total,28388430.0,54117.0,125469.0,,28820204.0
1990,NM,Total Electric Power Industry,Coal,26693013.0,54045.0,121573.0,15064983,25826928.0
1990,NM,Total Electric Power Industry,Natural Gas,1663550.0,8.0,3807.0,29568523,2738087.0
1990,NM,Total Electric Power Industry,Other,0.0,0.0,64.0,,
1990,NM,Total Electric Power Industry,Petroleum,31867.0,64.0,26.0,71190,35626.0
1990,NV,Total Electric Power Industry,Total,16695190.0,49577.0,69040.0,,20050685.0
1990,NV,Total Electric Power Industry,Coal,15085099.0,48318.0,65482.0,7269557,15053277.0
1990,NV,Total Electric Power Industry,Geothermal,19422.0,0.0,0.0,,761192.0
1990,NV,Total Electric Power Industry,Natural Gas,1333162.0,6.0,3094.0,24348267,2217027.0
1990,NV,Total Electric Power Industry,Petroleum,257507.0,1253.0,464.0,535063,284108.0
1990,NY,Total Electric Power Industry,Total,69088255.0,417095.0,193028.0,,135345692.0
1990,NY,Total Electric Power Industry,Coal,26669761.0,270760.0,105845.0,10527754,25913047.0
1990,NY,Total Electric Power Industry,Natural Gas,13161908.0,64.0,30242.0,236260412,22724335.0
1990,NY,Total Electric Power Industry,Other,1097545.0,8229.0,6356.0,,
1990,NY,Total Electric Power Industry,Petroleum,28159041.0,138042.0,50585.0,55546783,33884855.0
1990,OH,Total Electric Power Industry,Total,110607341.0,2013756.0,503176.0,,127980527.0
1990,OH,Total Electric Power Industry,Coal,109565830.0,2007866.0,499581.0,49145307,115832650.0
1990,OH,Total Electric Power Industry,Natural Gas,291131.0,0.0,687.0,2888996,241585.0
1990,OH,Total Electric Power Industry,Other,9498.0,2022.0,1637.0,,
1990,OH,Total Electric Power Industry,Petroleum,740882.0,3867.0,1271.0,738189,374481.0
1990,OK,Total Electric Power Industry,Total,36742054.0,102606.0,168496.0,,47079131.0
1990,OK,Total Electric Power Industry,Coal,26377489.0,99246.0,145054.0,15098121,25655347.0
1990,OK,Total Electric Power Industry,Natural Gas,10213755.0,48.0,22515.0,178652956,18236766.0
1990,OK,Total Electric Power Industry,Other,1410.0,2460.0,717.0,,
1990,OK,Total Electric Power Industry,Petroleum,149400.0,852.0,210.0,114084,76947.0
1990,OR,Total Electric Power Industry,Total,2055155.0,8873.0,8978.0,,50372236.0
1990,OR,Total Electric Power Industry,Coal,1493783.0,6604.0,6199.0,865447,1317344.0
1990,OR,Total Electric Power Industry,Natural Gas,458181.0,2.0,1006.0,7558544,819328.0
1990,OR,Total Electric Power Industry,Other,73992.0,2048.0,1709.0,,
1990,OR,Total Electric Power Industry,Petroleum,29199.0,220.0,63.0,58943,27777.0
1990,PA,Total Electric Power Industry,Total,109496801.0,1239637.0,453340.0,,175623311.0
1990,PA,Total Electric Power Industry,Coal,101176536.0,1169301.0,434909.0,45497182,106677155.0
1990,PA,Total Electric Power Industry,Natural Gas,1895724.0,8.0,4713.0,27423868,2833882.0
1990,PA,Total Electric Power Industry,Other,185777.0,2335.0,1998.0,,732.0
1990,PA,Total Electric Power Industry,Petroleum,6238764.0,67993.0,11720.0,9343102,4654522.0
1990,PR,Total Electric Power Industry,Petroleum,0.0,0.0,0.0,,
1990,RI,Total Electric Power Industry,Total,598562.0,1641.0,2016.0,,1107316.0
1990,RI,Total Electric Power Industry,Natural Gas,410890.0,3.0,1158.0,8976398,876943.0
1990,RI,Total Electric Power Industry,Other,0.0,0.0,361.0,,
1990,RI,Total Electric Power Industry,Petroleum,187672.0,1638.0,496.0,475989,185671.0
1990,SC,Total Electric Power Industry,Total,23663802.0,180869.0,92581.0,,71363174.0
1990,SC,Total Electric Power Industry,Coal,22791019.0,165352.0,87803.0,9416852,23411867.0
