"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"St. Cloud, MN","41060",2019,160,139,21,0,0,0,0,93,54,39,0,0,106,0,54,0
"St. George, UT","41100",2019,304,235,69,0,0,0,0,93,61,46,0,0,299,0,5,0
"St. Joseph, MO-KS","41140",2019,181,136,45,0,0,0,0,80,60,44,0,0,94,0,81,6
"St. Louis, MO-IL","41180",2019,244,91,150,1,2,0,0,156,77,54,1,1,114,3,119,6
"St. Marys, PA","41260",2019,207,197,10,0,0,0,0,80,49,39,0,0,207,0,0,0
"State College, PA","44300",2019,212,151,61,0,0,0,0,91,65,44,0,0,131,0,81,0
"Steamboat Springs, CO","44460",2019,173,171,2,0,0,0,0,60,32,12,0,0,0,0,0,173
"Stockton-Lodi, CA","44700",2019,169,137,26,6,0,0,0,137,65,36,1,4,92,0,55,17
"Summerville, GA","44900",2019,214,201,13,0,0,0,0,71,50,40,0,0,214,0,0,0
"Syracuse, NY","45060",2019,273,254,19,0,0,0,0,77,49,39,0,0,248,0,25,0
"Tallahassee, FL","45220",2019,182,121,60,1,0,0,0,119,67,44,1,0,90,0,91,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2019,182,117,60,5,0,0,0,126,78,46,1,0,110,1,68,2
"Taos, NM","45340",2019,170,153,17,0,0,0,0,70,51,18,0,0,0,0,170,0
"Terre Haute, IN","45460",2019,273,190,83,0,0,0,0,93,64,44,0,0,181,0,92,0
"Texarkana, TX-AR","45500",2019,196,170,26,0,0,0,0,63,52,32,0,0,0,0,196,0
"Toledo, OH","45780",2019,243,189,53,1,0,0,0,143,63,42,0,0,159,10,74,0
"Topeka, KS","45820",2019,181,139,41,0,1,0,0,158,62,43,0,0,101,0,80,0
"Torrington, CT","45860",2019,182,175,7,0,0,0,0,90,48,40,1,0,178,0,3,0
"Traverse City, MI","45900",2019,131,122,9,0,0,0,0,93,48,39,0,0,131,0,0,0
"Trenton, NJ","45940",2019,211,163,46,2,0,0,0,136,64,42,0,0,167,0,44,0
"Truckee-Grass Valley, CA","46020",2019,271,195,71,5,0,0,0,122,71,45,0,0,252,0,19,0
"Tucson, AZ","46060",2019,274,153,119,2,0,0,0,103,74,49,1,0,218,0,7,48
"Tulsa, OK","46140",2019,274,169,103,2,0,0,0,105,72,47,1,0,183,0,90,0
"Tupelo, MS","46180",2019,211,193,18,0,0,0,0,84,50,40,0,0,211,0,0,0
"Tuscaloosa, AL","46220",2019,155,146,9,0,0,0,0,59,47,35,0,0,111,0,44,0
"Twin Falls, ID","46300",2019,243,242,1,0,0,0,0,56,28,18,0,0,0,0,243,0
"Tyler, TX","46340",2019,211,184,26,1,0,0,0,133,54,37,0,0,211,0,0,0
"Ukiah, CA","46380",2019,181,169,12,0,0,0,0,75,46,35,0,0,128,0,45,8
"Urban Honolulu, HI","46520",2019,182,173,9,0,0,0,0,90,45,34,1,1,150,23,6,1
"Utica-Rome, NY","46540",2019,267,260,7,0,0,0,0,55,40,27,0,0,115,0,152,0
"Valdosta, GA","46660",2019,234,186,48,0,0,0,0,68,56,37,0,0,0,0,234,0
"Vallejo-Fairfield, CA","46700",2019,273,225,47,1,0,0,0,119,58,39,0,1,199,0,73,0
"Vernal, UT","46860",2019,273,145,111,12,4,1,0,205,87,50,0,0,263,0,10,0
"Victoria, TX","47020",2019,160,143,17,0,0,0,0,87,54,33,0,0,160,0,0,0
"Vincennes, IN","47180",2019,209,186,23,0,0,0,0,80,51,39,0,0,209,0,0,0
"Vineland-Bridgeton, NJ","47220",2019,181,155,24,2,0,0,0,105,57,41,0,1,144,0,36,0
"Vineyard Haven, MA","47240",2019,226,206,16,4,0,0,0,126,50,42,0,0,226,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2019,211,183,28,0,0,0,0,97,51,40,1,30,114,0,58,8
"Visalia-Porterville, CA","47300",2019,242,98,91,53,0,0,0,150,126,56,0,1,186,0,54,1
"Wabash, IN","47340",2019,200,174,26,0,0,0,0,97,54,40,0,0,200,0,0,0
"Waco, TX","47380",2019,213,194,19,0,0,0,0,80,50,36,2,0,177,0,34,0
"Walla Walla, WA","47460",2019,212,196,16,0,0,0,0,63,48,23,0,0,0,0,130,82
"Walterboro, SC","47500",2019,7,7,0,0,0,0,0,32,32,29,0,0,5,0,2,0
"Warner Robins, GA","47580",2019,256,169,85,1,1,0,0,152,61,43,0,0,0,0,256,0
"Warren, PA","47620",2019,181,178,1,2,0,0,0,120,24,10,0,0,0,181,0,0
"Washington Court House, OH","47920",2019,208,192,16,0,0,0,0,74,49,39,0,0,208,0,0,0
"Washington, IN","47780",2019,176,176,0,0,0,0,0,14,6,1,0,0,0,176,0,0
"Washington, NC","47820",2019,181,181,0,0,0,0,0,17,7,0,0,0,0,181,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2019,304,175,121,7,1,0,0,157,77,48,0,18,214,0,72,0
"Waterloo-Cedar Falls, IA","47940",2019,271,213,58,0,0,0,0,90,62,41,0,0,170,0,101,0
"Watertown, SD","47980",2019,178,156,22,0,0,0,0,83,54,27,0,0,0,0,146,32
"Watertown-Fort Atkinson, WI","48020",2019,157,145,12,0,0,0,0,100,50,40,0,0,157,0,0,0
"Watertown-Fort Drum, NY","48060",2019,205,198,7,0,0,0,0,64,46,35,0,0,205,0,0,0
"Wausau, WI","48140",2019,159,150,9,0,0,0,0,84,48,36,0,0,159,0,0,0
"Weatherford, OK","48220",2019,236,235,1,0,0,0,0,58,26,14,0,0,0,0,0,236
"Weirton-Steubenville, WV-OH","48260",2019,243,136,104,3,0,0,0,123,65,48,0,0,87,9,147,0
"Wenatchee, WA","48300",2019,212,192,20,0,0,0,0,76,49,20,0,0,0,0,212,0
"Wheeling, WV-OH","48540",2019,244,217,27,0,0,0,0,74,51,35,5,79,108,1,47,4
"Whitewater-Elkhorn, WI","48580",2019,159,143,15,1,0,0,0,112,51,40,0,0,159,0,0,0
"Wichita, KS","48620",2019,181,151,30,0,0,0,0,95,61,41,0,4,141,0,31,5
"Williamsport, PA","48700",2019,208,200,8,0,0,0,0,67,46,37,0,0,208,0,0,0
"Williston, ND","48780",2019,273,222,50,1,0,0,0,108,59,38,0,0,186,51,35,1
"Wilmington, NC","48900",2019,260,231,29,0,0,0,0,80,51,38,0,0,192,0,68,0
"Wilmington, OH","48940",2019,213,173,40,0,0,0,0,100,58,44,0,0,213,0,0,0
"Winchester, VA-WV","49020",2019,210,193,17,0,0,0,0,93,48,38,0,0,100,0,102,8
"Winston-Salem, NC","49180",2019,273,174,99,0,0,0,0,90,63,45,0,3,125,0,145,0
"Worcester, MA-CT","49340",2019,244,205,39,0,0,0,0,97,55,43,1,7,160,0,76,0
"Yakima, WA","49420",2019,212,143,66,3,0,0,0,114,73,35,0,0,0,0,211,1
"York-Hanover, PA","49620",2019,212,175,37,0,0,0,0,93,58,41,0,10,157,0,45,0
"Youngstown-Warren-Boardman, OH-PA","49660",2019,243,185,58,0,0,0,0,100,60,44,0,0,169,0,74,0
"Yuba City, CA","49700",2019,236,195,39,2,0,0,0,110,58,37,0,0,92,0,144,0
"Yuma, AZ","49740",2019,273,195,76,2,0,0,0,110,71,46,0,0,219,0,26,28
