"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Davenport-Moline-Rock Island, IA-IL","19340",2019,274,165,106,3,0,0,0,115,68,46,1,0,123,0,107,43
"Dayton, OH","19380",2019,244,140,104,0,0,0,0,94,67,47,1,0,150,0,93,0
"Decatur, AL","19460",2019,212,176,36,0,0,0,0,87,54,41,0,0,116,0,96,0
"Decatur, IL","19500",2019,243,169,74,0,0,0,0,93,61,44,0,0,125,11,107,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2019,181,159,22,0,0,0,0,80,52,39,0,0,138,0,43,0
"Deming, NM","19700",2019,181,172,7,1,0,0,1,617,35,14,0,0,0,0,0,181
"Denver-Aurora-Lakewood, CO","19740",2019,244,49,174,19,2,0,0,154,99,64,1,32,163,1,43,4
"Des Moines-West Des Moines, IA","19780",2019,305,251,53,0,0,1,0,268,57,40,1,33,200,0,71,0
"Detroit-Warren-Dearborn, MI","19820",2019,182,71,106,5,0,0,0,138,80,54,1,2,36,30,108,5
"Dickinson, ND","19860",2019,273,262,11,0,0,0,0,84,46,36,0,0,244,0,29,0
"Dodge City, KS","19980",2019,121,119,2,0,0,0,0,54,27,12,0,0,0,0,0,121
"Dothan, AL","20020",2019,170,150,20,0,0,0,0,77,51,38,0,0,130,0,40,0
"Douglas, GA","20060",2019,70,62,8,0,0,0,0,60,52,26,0,0,0,0,70,0
"Dover, DE","20100",2019,273,215,58,0,0,0,0,83,58,43,0,0,227,0,46,0
"DuBois, PA","20180",2019,208,207,1,0,0,0,0,61,44,37,0,0,208,0,0,0
"Duluth, MN-WI","20260",2019,236,219,17,0,0,0,0,84,47,36,0,0,211,0,22,3
"Durango, CO","20420",2019,212,156,56,0,0,0,0,87,61,46,0,9,174,0,29,0
"Durham-Chapel Hill, NC","20500",2019,273,192,81,0,0,0,0,92,61,45,0,0,185,3,85,0
"Dyersburg, TN","20540",2019,176,167,9,0,0,0,0,60,45,26,0,0,0,0,176,0
"Eagle Pass, TX","20580",2019,159,124,34,1,0,0,0,104,62,28,0,0,0,0,159,0
"East Stroudsburg, PA","20700",2019,202,194,8,0,0,0,0,80,47,38,0,0,202,0,0,0
"Eau Claire, WI","20740",2019,241,205,36,0,0,0,0,92,54,37,0,0,128,0,112,1
"Effingham, IL","20820",2019,184,164,20,0,0,0,0,84,51,42,0,0,184,0,0,0
"El Centro, CA","20940",2019,233,128,100,4,1,0,0,185,77,48,0,0,94,0,110,29
"El Dorado, AR","20980",2019,211,174,37,0,0,0,0,98,54,35,0,0,0,0,211,0
"El Paso, TX","21340",2019,213,60,145,6,2,0,0,157,84,57,1,6,104,0,101,1
"Elizabethtown-Fort Knox, KY","21060",2019,118,108,10,0,0,0,0,61,47,33,0,0,16,0,102,0
"Elkhart-Goshen, IN","21140",2019,240,206,34,0,0,0,0,78,54,38,0,0,191,0,49,0
"Elko, NV","21220",2019,181,180,1,0,0,0,0,61,21,9,0,0,0,0,0,181
"Ellensburg, WA","21260",2019,211,187,24,0,0,0,0,71,53,21,0,0,0,0,211,0
"Enid, OK","21420",2019,253,250,3,0,0,0,0,74,14,0,0,0,0,253,0,0
"Erie, PA","21500",2019,211,187,24,0,0,0,0,93,51,37,0,5,147,0,59,0
"Espa¤ola, NM","21580",2019,170,136,34,0,0,0,0,90,58,45,0,0,170,0,0,0
"Eugene, OR","21660",2019,181,131,47,3,0,0,0,117,70,37,0,0,52,0,122,7
"Eureka-Arcata-Fortuna, CA","21700",2019,182,178,4,0,0,0,0,64,40,30,1,0,141,0,18,22
"Evanston, WY","21740",2019,181,146,34,1,0,0,0,101,58,44,0,0,178,0,0,3
"Evansville, IN-KY","21780",2019,274,192,78,4,0,0,0,120,64,44,21,0,157,18,78,0
"Fairbanks, AK","21820",2019,182,117,48,9,8,0,0,172,95,39,1,16,80,1,81,3
"Fairmont, WV","21900",2019,47,45,2,0,0,0,0,55,42,28,0,0,0,0,47,0
"Fallon, NV","21980",2019,174,157,17,0,0,0,0,80,50,42,0,0,174,0,0,0
"Fargo, ND-MN","22020",2019,271,241,28,1,1,0,0,156,51,36,0,6,207,0,57,1
"Farmington, NM","22140",2019,273,159,114,0,0,0,0,97,77,49,0,3,269,1,0,0
"Fayetteville, NC","22180",2019,271,200,71,0,0,0,0,84,60,44,0,0,181,0,87,3
"Fayetteville-Springdale-Rogers, AR-MO","22220",2019,273,180,93,0,0,0,0,96,61,46,0,0,129,0,144,0
"Fernley, NV","22280",2019,198,190,8,0,0,0,0,71,47,39,0,0,169,0,0,29
"Flagstaff, AZ","22380",2019,273,209,64,0,0,0,0,80,61,46,0,0,273,0,0,0
"Flint, MI","22420",2019,156,127,29,0,0,0,0,74,56,42,0,0,92,0,64,0
"Florence, SC","22500",2019,273,204,69,0,0,0,0,100,64,43,0,0,190,0,83,0
"Florence-Muscle Shoals, AL","22520",2019,171,161,10,0,0,0,0,61,49,38,0,0,138,0,33,0
"Fond du Lac, WI","22540",2019,156,149,7,0,0,0,0,100,48,38,0,0,156,0,0,0
"Fort Collins, CO","22660",2019,244,110,129,5,0,0,0,129,80,51,1,0,218,0,25,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2019,90,79,11,0,0,0,0,70,56,29,0,0,0,0,90,0
"Fort Payne, AL","22840",2019,208,188,20,0,0,0,0,77,50,39,0,0,187,0,21,0
"Fort Smith, AR-OK","22900",2019,212,183,29,0,0,0,0,79,53,38,0,12,91,0,109,0
"Fort Wayne, IN","23060",2019,253,170,83,0,0,0,0,97,64,45,0,0,149,0,104,0
"Fresno, CA","23420",2019,243,119,106,18,0,0,0,140,97,51,0,2,190,0,43,8
"Gadsden, AL","23460",2019,170,144,26,0,0,0,0,90,54,43,0,0,136,0,34,0
"Gainesville, FL","23540",2019,181,150,31,0,0,0,0,80,58,38,0,0,144,0,37,0
"Gainesville, GA","23580",2019,248,181,67,0,0,0,0,88,58,38,0,0,0,0,248,0
"Gardnerville Ranchos, NV","23820",2019,172,167,5,0,0,0,0,62,42,10,0,0,0,0,172,0
"Georgetown, SC","23860",2019,92,91,1,0,0,0,0,52,25,14,0,0,0,0,0,92
"Gettysburg, PA","23900",2019,212,164,48,0,0,0,0,80,59,43,0,0,162,0,50,0
"Gillette, WY","23940",2019,212,185,27,0,0,0,0,79,52,39,0,0,123,0,5,84
"Glenwood Springs, CO","24060",2019,267,247,20,0,0,0,0,74,50,43,0,0,262,0,1,4
"Grand Island, NE","24260",2019,73,68,5,0,0,0,0,60,39,23,0,0,0,0,73,0
"Grand Junction, CO","24300",2019,271,199,72,0,0,0,0,87,61,46,2,0,242,0,26,1
"Grand Rapids-Wyoming, MI","24340",2019,182,147,34,1,0,0,0,113,61,41,2,9,144,0,24,3
"Grants Pass, OR","24420",2019,105,74,31,0,0,0,0,88,71,36,0,0,0,0,105,0
"Great Falls, MT","24500",2019,181,171,9,1,0,0,0,106,40,20,0,0,0,0,181,0
"Greeley, CO","24540",2019,244,168,74,2,0,0,0,125,67,45,1,0,180,0,63,0
"Green Bay, WI","24580",2019,243,210,33,0,0,0,0,97,52,38,0,0,143,2,98,0
"Greenfield Town, MA","24640",2019,243,220,23,0,0,0,0,87,50,39,0,0,187,0,56,0
"Greensboro-High Point, NC","24660",2019,273,211,62,0,0,0,0,90,67,44,0,0,204,0,50,19
"Greenville, NC","24780",2019,265,224,41,0,0,0,0,87,54,41,0,0,181,0,84,0
"Greenville-Anderson-Mauldin, SC","24860",2019,273,158,113,2,0,0,0,108,80,48,0,1,215,0,57,0
"Guayama, PR","25020",2019,75,74,1,0,0,0,0,96,7,6,0,0,0,75,0,0
"Gulfport-Biloxi-Pascagoula, MS","25060",2019,273,195,77,1,0,0,0,105,61,44,0,0,138,0,135,0
"Hagerstown-Martinsburg, MD-WV","25180",2019,302,263,39,0,0,0,0,81,53,41,0,0,217,0,85,0
"Hailey, ID","25200",2019,163,163,0,0,0,0,0,41,24,14,0,0,0,0,163,0
"Hammond, LA","25220",2019,60,55,5,0,0,0,0,63,47,30,0,0,0,0,60,0
"Hanford-Corcoran, CA","25260",2019,273,149,113,11,0,0,0,130,87,49,0,0,184,0,47,42
"Harrisburg-Carlisle, PA","25420",2019,212,145,62,4,1,0,0,158,71,45,0,0,110,0,102,0
"Harrison, AR","25460",2019,273,256,16,1,0,0,0,129,49,37,0,0,273,0,0,0
"Harrisonburg, VA","25500",2019,202,190,12,0,0,0,0,65,49,39,0,48,113,0,41,0
"Hartford-West Hartford-East Hartford, CT","25540",2019,182,151,31,0,0,0,0,100,56,43,1,9,132,0,39,1
"Hattiesburg, MS","25620",2019,273,234,39,0,0,0,0,75,53,35,0,0,0,0,273,0
"Helena, MT","25740",2019,212,152,58,2,0,0,0,144,73,43,1,0,118,0,93,0
"Hermiston-Pendleton, OR","25840",2019,150,123,27,0,0,0,0,80,56,38,0,0,60,0,90,0
"Hickory-Lenoir-Morganton, NC","25860",2019,273,200,73,0,0,0,0,80,59,44,0,0,159,0,114,0
"Hilo, HI","25900",2019,228,222,6,0,0,0,0,74,31,18,0,0,0,66,162,0
"Hobbs, NM","26020",2019,181,114,64,3,0,0,0,140,77,47,0,3,155,0,23,0
"Holland, MI","26090",2019,138,117,21,0,0,0,0,97,54,40,0,0,119,0,19,0
"Homosassa Springs, FL","26140",2019,181,166,15,0,0,0,0,80,48,33,0,0,0,0,181,0
"Hot Springs, AR","26300",2019,91,72,19,0,0,0,0,67,54,37,0,0,0,0,91,0
"Houma-Thibodaux, LA","26380",2019,269,197,70,2,0,0,0,126,60,43,0,0,119,0,150,0
"Houston-The Woodlands-Sugar Land, TX","26420",2019,182,83,79,17,3,0,0,169,105,53,1,6,89,0,84,2
"Huntington, IN","26540",2019,234,224,10,0,0,0,0,84,46,35,0,0,234,0,0,0
"Huntington-Ashland, WV-KY-OH","26580",2019,273,229,44,0,0,0,0,77,54,43,0,3,175,0,94,1
"Huntsville, AL","26620",2019,181,130,51,0,0,0,0,90,61,44,0,0,89,0,92,0
"Idaho Falls, ID","26820",2019,242,220,22,0,0,0,0,71,50,43,0,0,219,0,23,0
"Indiana, PA","26860",2019,211,193,18,0,0,0,0,93,50,41,0,0,203,8,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2019,274,129,142,3,0,0,0,112,74,52,1,0,133,4,136,0
"Iowa City, IA","26980",2019,272,214,58,0,0,0,0,91,59,34,0,0,0,0,272,0
"Ithaca, NY","27060",2019,242,236,6,0,0,0,0,61,45,37,0,0,206,36,0,0
"Jackson, MS","27140",2019,274,206,68,0,0,0,0,100,58,43,1,0,122,0,151,0
"Jackson, TN","27180",2019,181,174,7,0,0,0,0,57,45,24,0,0,0,0,181,0
"Jackson, WY-ID","27220",2019,244,209,35,0,0,0,0,87,54,44,1,0,240,0,3,0
"Jacksonville, FL","27260",2019,182,120,62,0,0,0,0,97,70,46,1,0,100,2,79,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2019,273,246,26,1,0,0,0,105,50,40,0,0,264,0,9,0
"Janesville-Beloit, WI","27500",2019,157,140,17,0,0,0,0,77,51,40,0,0,157,0,0,0
"Jasper, IN","27540",2019,208,193,15,0,0,0,0,70,47,4,0,0,0,118,89,1
"Jefferson City, MO","27620",2019,122,119,3,0,0,0,0,71,48,43,0,0,122,0,0,0
"Johnstown, PA","27780",2019,210,176,34,0,0,0,0,84,55,39,0,3,131,0,76,0
"Jonesboro, AR","27860",2019,49,43,6,0,0,0,0,61,53,30,0,0,0,0,49,0
"Joplin, MO","27900",2019,181,156,24,1,0,0,0,108,54,41,0,0,109,0,0,72
"Juneau, AK","27940",2019,180,143,37,0,0,0,0,79,56,25,0,0,0,0,170,10
"Kahului-Wailuku-Lahaina, HI","27980",2019,178,177,1,0,0,0,0,53,24,14,0,0,0,0,178,0
"Kalamazoo-Portage, MI","28020",2019,149,129,20,0,0,0,0,85,54,41,0,0,116,0,33,0
"Kalispell, MT","28060",2019,243,211,31,1,0,0,0,103,54,38,0,0,182,0,39,22
"Kansas City, MO-KS","28140",2019,182,108,73,1,0,0,0,137,67,47,1,4,94,0,80,3
"Kapaa, HI","28180",2019,181,179,2,0,0,0,0,71,29,14,0,76,0,1,104,0
"Keene, NH","28300",2019,181,172,9,0,0,0,0,68,45,38,0,0,157,0,24,0
"Kennewick-Richland, WA","28420",2019,212,190,22,0,0,0,0,80,51,38,0,0,115,0,93,4
"Killeen-Temple, TX","28660",2019,212,156,54,2,0,0,0,105,63,43,0,1,163,0,48,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2019,202,122,64,16,0,0,0,121,90,49,0,0,69,78,55,0
"Kingsville, TX","28780",2019,159,118,41,0,0,0,0,87,59,35,0,0,0,0,159,0
"Kinston, NC","28820",2019,206,174,32,0,0,0,0,87,54,43,0,0,206,0,0,0
"Klamath Falls, OR","28900",2019,105,76,29,0,0,0,0,92,70,33,0,0,0,0,105,0
"Knoxville, TN","28940",2019,273,173,99,1,0,0,0,101,67,46,0,0,167,0,106,0
"Kokomo, IN","29020",2019,240,192,47,1,0,0,0,108,58,42,0,0,186,0,54,0
"La Crosse-Onalaska, WI-MN","29100",2019,243,207,36,0,0,0,0,81,57,38,0,0,137,0,106,0
"La Grande, OR","29260",2019,90,85,5,0,0,0,0,56,45,24,0,0,0,0,88,2
"Laconia, NH","29060",2019,132,132,0,0,0,0,0,50,44,38,0,0,118,0,14,0
"Lafayette, LA","29180",2019,273,214,59,0,0,0,0,84,60,42,0,0,156,0,117,0
"Lafayette-West Lafayette, IN","29200",2019,273,218,55,0,0,0,0,84,55,42,0,0,204,0,69,0
"Lake Charles, LA","29340",2019,273,171,102,0,0,0,0,90,64,46,0,1,103,1,168,0
"Lake City, FL","29380",2019,180,135,45,0,0,0,0,90,64,42,0,0,124,0,56,0
"Lake Havasu City-Kingman, AZ","29420",2019,273,268,5,0,0,0,0,69,29,15,0,0,0,0,0,273
"Lakeland-Winter Haven, FL","29460",2019,181,148,33,0,0,0,0,100,58,40,0,0,128,0,53,0
"Lancaster, PA","29540",2019,212,138,67,6,1,0,0,157,72,46,0,0,128,0,84,0
"Lansing-East Lansing, MI","29620",2019,181,166,15,0,0,0,0,75,49,38,0,6,125,0,50,0
"Laramie, WY","29660",2019,212,127,85,0,0,0,0,90,64,49,0,0,193,0,2,17
"Laredo, TX","29700",2019,182,116,65,1,0,0,0,109,72,44,1,0,62,0,118,1
"Las Cruces, NM","29740",2019,181,73,98,5,1,2,2,630,87,54,0,1,129,0,11,40
"Las Vegas-Henderson-Paradise, NV","29820",2019,274,122,148,4,0,0,0,122,87,52,1,11,230,0,29,3
"Lawrenceburg, TN","29980",2019,173,164,9,0,0,0,0,60,44,25,0,0,0,0,173,0
"Lawton, OK","30020",2019,273,198,75,0,0,0,0,97,67,44,0,0,184,0,89,0
"Lebanon, PA","30140",2019,207,159,45,3,0,0,0,142,64,43,0,0,144,0,63,0
"Lewiston, ID-WA","30300",2019,270,243,27,0,0,0,0,85,51,24,0,0,0,0,270,0
"Lewiston-Auburn, ME","30340",2019,273,261,12,0,0,0,0,68,44,33,0,0,199,0,72,2
"Lexington-Fayette, KY","30460",2019,120,105,15,0,0,0,0,67,52,40,0,4,21,0,95,0
"Lima, OH","30620",2019,243,199,44,0,0,0,0,97,58,41,0,0,161,31,51,0
"Lincoln, NE","30700",2019,268,247,21,0,0,0,0,66,49,35,0,0,192,40,36,0
"Little Rock-North Little Rock-Conway, AR","30780",2019,274,184,90,0,0,0,0,79,59,45,1,0,121,0,152,0
"Logan, UT-ID","30860",2019,273,199,67,7,0,0,0,137,64,46,0,0,232,0,41,0
"Longview, TX","30980",2019,212,164,40,8,0,0,0,129,71,37,0,2,156,54,0,0
"Longview, WA","31020",2019,207,199,8,0,0,0,0,76,40,13,0,0,0,0,207,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2019,182,56,108,15,3,0,0,200,100,58,1,18,100,0,61,2
"Louisville/Jefferson County, KY-IN","31140",2019,253,150,102,1,0,0,0,101,64,47,0,5,122,0,126,0
"Lubbock, TX","31180",2019,192,181,10,1,0,0,0,103,44,25,0,0,0,0,192,0
"Ludington, MI","31220",2019,131,125,6,0,0,0,0,64,47,38,0,0,131,0,0,0
"Lynchburg, VA","31340",2019,70,69,1,0,0,0,0,55,44,26,0,0,0,0,70,0
"Macon, GA","31420",2019,273,208,62,3,0,0,0,137,62,40,0,0,156,0,117,0
"Madera, CA","31460",2019,72,72,0,0,0,0,0,42,37,29,0,5,51,0,16,0
"Madison, WI","31540",2019,243,187,56,0,0,0,0,93,61,41,0,0,134,0,109,0
"Malone, NY","31660",2019,272,272,0,0,0,0,0,1,0,0,0,0,0,272,0,0
"Manchester-Nashua, NH","31700",2019,182,176,6,0,0,0,0,80,47,41,1,0,179,0,2,0
"Manitowoc, WI","31820",2019,156,141,15,0,0,0,0,100,49,37,0,0,156,0,0,0
"Marietta, OH","31930",2019,184,165,19,0,0,0,0,87,51,42,0,0,184,0,0,0
"Marshall, MN","32140",2019,179,152,27,0,0,0,0,85,57,37,0,0,85,0,94,0
"Marshall, TX","32220",2019,211,174,36,1,0,0,0,113,54,38,0,0,123,26,62,0
"Mason City, IA","32380",2019,89,89,0,0,0,0,0,38,27,15,0,0,0,0,0,89
"Mayaguez, PR","32420",2019,20,12,8,0,0,0,0,76,71,41,0,0,1,0,19,0
"McAlester, OK","32540",2019,273,190,81,2,0,0,0,105,61,44,0,0,164,0,109,0
"McAllen-Edinburg-Mission, TX","32580",2019,181,103,76,2,0,0,0,106,70,45,0,0,60,0,120,1
"Medford, OR","32780",2019,161,136,24,1,0,0,0,105,59,35,0,0,61,0,100,0
"Memphis, TN-MS-AR","32820",2019,273,165,106,2,0,0,0,136,65,46,0,6,153,0,114,0
"Merced, CA","32900",2019,82,75,6,1,0,0,0,116,46,30,0,0,0,0,74,8
"Meridian, MS","32940",2019,214,201,13,0,0,0,0,77,49,37,0,0,214,0,0,0
"Miami, OK","33060",2019,181,147,34,0,0,0,0,99,54,41,0,0,70,0,102,9
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2019,182,140,40,2,0,0,0,146,60,43,1,7,82,0,92,0
"Michigan City-La Porte, IN","33140",2019,252,204,44,4,0,0,0,126,64,40,0,0,225,0,27,0
"Middlesborough, KY","33180",2019,56,50,6,0,0,0,0,65,54,40,0,0,31,0,25,0
"Milwaukee-Waukesha-West Allis, WI","33340",2019,244,169,73,2,0,0,0,115,64,44,1,7,147,0,83,6
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2019,273,189,83,1,0,0,0,122,66,40,1,0,72,91,79,30
"Minot, ND","33500",2019,272,255,17,0,0,0,0,87,46,31,0,6,188,0,74,4
"Missoula, MT","33540",2019,181,111,69,0,0,1,0,222,74,40,0,0,55,0,126,0
"Mobile, AL","33660",2019,211,158,53,0,0,0,0,79,61,42,0,0,90,3,118,0
"Modesto, CA","33700",2019,168,135,27,6,0,0,0,120,71,38,1,0,88,0,63,16
"Monroe, LA","33740",2019,271,251,20,0,0,0,0,71,49,36,0,0,256,0,15,0
"Monroe, MI","33780",2019,176,174,2,0,0,0,0,76,14,1,0,0,0,151,0,25
"Montgomery, AL","33860",2019,212,103,108,1,0,0,0,122,67,51,0,0,43,0,169,0
"Morehead City, NC","33980",2019,118,98,20,0,0,0,0,80,64,44,0,0,118,0,0,0
"Morgantown, WV","34060",2019,272,252,20,0,0,0,0,74,49,39,0,0,206,45,21,0
"Morristown, TN","34100",2019,121,100,21,0,0,0,0,90,58,44,0,0,121,0,0,0
"Moscow, ID","34140",2019,173,173,0,0,0,0,0,37,18,8,0,0,0,0,173,0
"Moses Lake, WA","34180",2019,212,205,7,0,0,0,0,62,37,18,0,0,0,0,212,0
"Mount Pleasant, TX","34420",2019,205,204,1,0,0,0,0,54,11,0,0,0,0,205,0,0
"Mount Vernon, IL","34500",2019,223,169,53,1,0,0,0,105,58,44,0,0,155,0,68,0
"Mount Vernon, OH","34540",2019,184,161,23,0,0,0,0,93,54,43,0,0,184,0,0,0
"Mount Vernon-Anacortes, WA","34580",2019,212,211,1,0,0,0,0,53,33,23,0,0,70,0,142,0
"Muncie, IN","34620",2019,264,237,27,0,0,0,0,71,51,37,0,0,231,0,33,0
"Muscatine, IA","34700",2019,273,226,47,0,0,0,0,92,56,32,0,0,0,8,264,1
"Muskegon, MI","34740",2019,139,129,10,0,0,0,0,97,49,40,0,0,139,0,0,0
"Muskogee, OK","34780",2019,195,178,15,1,1,0,0,169,46,12,0,0,0,61,0,134
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2019,251,184,66,1,0,0,0,101,67,42,0,0,195,56,0,0
"Napa, CA","34900",2019,244,224,18,2,0,0,0,119,48,35,1,0,179,0,64,0
"Naples-Immokalee-Marco Island, FL","34940",2019,179,157,22,0,0,0,0,90,51,39,0,0,115,0,64,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2019,182,127,55,0,0,0,0,87,61,45,1,20,88,0,73,0
"New Castle, IN","35220",2019,91,82,9,0,0,0,0,63,50,29,0,0,0,0,91,0
"New Castle, PA","35260",2019,209,208,1,0,0,0,0,54,43,32,0,0,209,0,0,0
"New Haven-Milford, CT","35300",2019,182,149,30,3,0,0,0,147,55,41,1,5,125,0,49,2
"New Orleans-Metairie, LA","35380",2019,274,168,106,0,0,0,0,97,71,46,1,2,138,16,117,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2019,274,126,135,13,0,0,0,150,90,52,1,38,145,0,90,0
"Niles-Benton Harbor, MI","35660",2019,260,232,26,2,0,0,0,112,51,39,0,0,260,0,0,0
"Nogales, AZ","35700",2019,269,227,41,1,0,0,0,120,56,29,0,0,0,0,183,86
"North Port-Sarasota-Bradenton, FL","35840",2019,181,143,36,2,0,0,0,108,64,42,0,0,132,0,49,0
"Norwich-New London, CT","35980",2019,181,166,14,1,0,0,0,129,48,39,0,0,115,0,66,0
"Ocala, FL","36100",2019,181,147,34,0,0,0,0,87,58,42,0,0,119,0,62,0
"Odessa, TX","36220",2019,205,178,27,0,0,0,0,80,54,30,0,0,0,0,205,0
"Ogden-Clearfield, UT","36260",2019,274,170,97,7,0,0,0,121,80,47,1,18,226,0,29,0
"Ogdensburg-Massena, NY","36300",2019,273,211,55,7,0,0,0,104,80,17,0,0,0,273,0,0
"Oklahoma City, OK","36420",2019,274,147,125,2,0,0,0,119,77,49,1,1,165,0,106,1
"Olympia-Tumwater, WA","36500",2019,212,194,18,0,0,0,0,71,48,29,0,0,91,0,121,0
"Omaha-Council Bluffs, NE-IA","36540",2019,304,229,75,0,0,0,0,97,60,42,0,0,164,10,98,32
"Orlando-Kissimmee-Sanford, FL","36740",2019,182,135,41,6,0,0,0,122,67,42,1,0,154,0,27,0
"Othello, WA","36830",2019,212,211,1,0,0,0,0,69,23,12,0,0,0,0,212,0
"Ottawa-Peru, IL","36860",2019,213,212,1,0,0,0,0,60,4,0,0,0,0,213,0,0
"Owensboro, KY","36980",2019,119,92,26,0,1,0,0,156,58,39,0,0,20,2,97,0
"Oxford, NC","37080",2019,209,166,43,0,0,0,0,87,64,44,0,0,209,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2019,243,146,94,3,0,0,0,112,77,45,0,0,199,0,43,1
"Paducah, KY-IL","37140",2019,119,96,23,0,0,0,0,66,57,40,0,2,19,0,96,2
"Pahrump, NV","37220",2019,181,180,1,0,0,0,0,75,22,11,0,0,0,0,0,181
"Palatka, FL","37260",2019,181,178,3,0,0,0,0,54,30,16,0,0,0,2,0,179
"Palm Bay-Melbourne-Titusville, FL","37340",2019,179,171,8,0,0,0,0,90,48,38,0,0,175,0,4,0
"Panama City, FL","37460",2019,180,155,25,0,0,0,0,85,58,40,0,0,129,0,51,0
"Parkersburg-Vienna, WV","37620",2019,272,250,22,0,0,0,0,87,49,38,0,0,200,49,23,0
"Payson, AZ","37740",2019,273,79,149,39,6,0,0,187,112,67,0,0,197,74,0,2
"Pensacola-Ferry Pass-Brent, FL","37860",2019,181,141,39,1,0,0,0,101,61,42,0,0,138,0,43,0
"Peoria, IL","37900",2019,243,182,59,2,0,0,0,101,61,43,0,0,157,1,85,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2019,304,171,123,10,0,0,0,150,79,48,0,9,202,0,93,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2019,274,56,185,22,1,3,7,886,104,67,1,1,175,0,32,65
"Pierre, SD","38180",2019,177,171,6,0,0,0,0,65,38,14,0,0,0,0,177,0
"Pittsburgh, PA","38300",2019,274,96,167,8,3,0,0,161,80,56,1,0,89,20,164,0
"Pittsfield, MA","38340",2019,243,211,32,0,0,0,0,87,52,40,0,0,175,0,68,0
"Platteville, WI","38420",2019,243,206,36,1,0,0,0,104,55,29,0,0,0,0,243,0
"Pocatello, ID","38540",2019,273,259,14,0,0,0,0,59,44,24,0,0,0,89,106,78
"Point Pleasant, WV-OH","38580",2019,243,225,16,2,0,0,0,105,43,9,0,0,0,243,0,0
"Ponca City, OK","38620",2019,273,213,59,1,0,0,0,106,56,40,0,0,56,3,214,0
"Ponce, PR","38660",2019,170,104,60,6,0,0,0,136,67,39,7,0,0,0,142,21
"Port Angeles, WA","38820",2019,212,196,16,0,0,0,0,70,49,37,0,0,148,0,64,0
"Port St. Lucie, FL","38940",2019,181,160,21,0,0,0,0,84,51,40,0,0,145,0,36,0
"Portland-South Portland, ME","38860",2019,305,258,46,1,0,0,0,115,54,41,1,0,163,0,138,3
"Portland-Vancouver-Hillsboro, OR-WA","38900",2019,212,186,25,1,0,0,0,128,53,35,0,7,157,0,48,0
"Portsmouth, OH","39020",2019,243,237,6,0,0,0,0,78,38,14,0,0,0,42,68,133
"Prescott, AZ","39140",2019,266,211,55,0,0,0,0,87,58,44,0,0,266,0,0,0
"Price, UT","39220",2019,304,204,99,1,0,0,0,108,67,47,0,4,300,0,0,0
"Prineville, OR","39260",2019,56,48,8,0,0,0,0,85,57,17,0,0,0,0,56,0
"Providence-Warwick, RI-MA","39300",2019,248,198,49,1,0,0,0,108,61,44,0,7,199,0,36,6
"Provo-Orem, UT","39340",2019,305,205,100,0,0,0,0,97,71,47,1,6,272,0,26,0
"Pueblo, CO","39380",2019,76,76,0,0,0,0,0,35,29,19,0,0,0,0,50,26
"Pullman, WA","39420",2019,212,210,2,0,0,0,0,53,28,17,0,0,0,0,212,0
"Quincy, IL-MO","39500",2019,180,148,32,0,0,0,0,93,58,44,0,0,180,0,0,0
"Racine, WI","39540",2019,158,131,26,1,0,0,0,115,64,42,0,0,158,0,0,0
"Raleigh, NC","39580",2019,272,166,106,0,0,0,0,93,64,48,0,0,134,0,138,0
"Rapid City, SD","39660",2019,181,121,56,4,0,0,0,117,68,45,0,0,104,0,18,59
"Reading, PA","39740",2019,212,159,46,6,1,0,0,165,67,43,0,0,145,1,66,0
"Red Bluff, CA","39780",2019,192,165,27,0,0,0,0,80,54,37,0,0,180,0,0,12
"Red Wing, MN","39860",2019,121,108,13,0,0,0,0,97,51,42,0,0,121,0,0,0
"Redding, CA","39820",2019,242,213,29,0,0,0,0,77,51,43,0,0,236,0,5,1
"Reno, NV","39900",2019,182,123,59,0,0,0,0,97,64,47,1,4,152,0,23,2
"Richmond, VA","40060",2019,211,163,48,0,0,0,0,100,58,43,1,9,125,0,68,8
